분류,상품명,설명,비율,제목
보장성보험 화재재물보험 상품,주택화재보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 화재재물보험 상품,주택화재보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 화재재물보험 상품,하이주택화재상해보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 화재재물보험 상품,하이주택화재상해보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 화재재물보험 상품,하이주택화재상해보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 화재재물보험 상품,애니홈 종합보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 화재재물보험 상품,애니홈 종합보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 화재재물보험 상품,애니홈 종합보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 골프보험 상품,캐롯 투게더 홀인원보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 골프보험 상품,캐롯 투게더 홀인원보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 골프보험 상품,KB골프보험(1일 골프플랜),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 골프보험 상품,KB골프보험(1일 골프플랜),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 골프보험 상품,KB골프보험(1일 골프플랜),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 골프보험 상품,삼성화재 다이렉트 골프보험(일일형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 골프보험 상품,삼성화재 다이렉트 골프보험(일일형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 골프보험 상품,골프보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 골프보험 상품,골프보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 골프보험 상품,골프보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 골프보험 상품,프로미 다이렉트 골프보험(CM),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 골프보험 상품,프로미 다이렉트 골프보험(CM),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 골프보험 상품,프로미 다이렉트 골프보험(CM),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 골프보험 상품,홀인원보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 골프보험 상품,홀인원보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 골프보험 상품,홀인원보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리확정형저축보험 상품,MAX 저축보험 스페셜 무배당(B2103),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리확정형저축보험 상품,MAX 저축보험 스페셜 무배당(B2103),이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리확정형저축보험 상품,MAX 저축보험 스페셜 무배당(B2103),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리확정형저축보험 상품,MAX 저축보험 스페셜 무배당(B2103),이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,,금리확정형 / 적용금리 고정
금리확정형저축보험 상품,무배당 ABL인터넷확정금리저축보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리확정형저축보험 상품,무배당 ABL인터넷확정금리저축보험,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리확정형저축보험 상품,무배당 ABL인터넷확정금리저축보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리확정형저축보험 상품,무배당 ABL인터넷확정금리저축보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,,금리확정형 / 적용금리 고정
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,사망보험금이 기납입보험료보다 적을 경우 기납입 보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),사망보험금이 기납입보험료보다 적을 경우 기납입 보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액(유니버셜)저축보험 상품,무배당 더쉬운자산관리 ETF변액보험Ⅲ(적립형),이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액(유니버셜)저축보험 상품,무배당 더쉬운자산관리 ETF변액보험Ⅲ(적립형),이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액(유니버셜)저축보험 상품,무배당 더쉬운자산관리 ETF변액보험Ⅲ(적립형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액(유니버셜)저축보험 상품,무배당 더쉬운자산관리 ETF변액보험Ⅲ(적립형),이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액(유니버셜)저축보험 상품,무배당 더쉬운자산관리 ETF변액보험Ⅲ(적립형),사망보험금이 기납입보험료보다 적을 경우 기납입 보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액(유니버셜)저축보험 상품,삼성 에이스변액저축보험B1.4(무배당),이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액(유니버셜)저축보험 상품,삼성 에이스변액저축보험B1.4(무배당),이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액(유니버셜)저축보험 상품,삼성 에이스변액저축보험B1.4(무배당),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액(유니버셜)저축보험 상품,삼성 에이스변액저축보험B1.4(무배당),이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액(유니버셜)저축보험 상품,삼성 에이스변액저축보험B1.4(무배당),사망보험금이 기납입보험료보다 적을 경우 기납입 보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액(유니버셜)저축보험 상품,무배당 보너스주는변액저축보험,이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액(유니버셜)저축보험 상품,무배당 보너스주는변액저축보험,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액(유니버셜)저축보험 상품,무배당 보너스주는변액저축보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액(유니버셜)저축보험 상품,무배당 보너스주는변액저축보험,이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액(유니버셜)저축보험 상품,무배당 보너스주는변액저축보험,사망보험금이 기납입보험료보다 적을 경우 기납입 보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액(유니버셜)저축보험 상품,미래에셋생명 온라인 변액저축보험 무배당 2105 진심의 차이,사망보험금이 기납입보험료보다 적을 경우 기납입 보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액(유니버셜)저축보험 상품,무배당 베리굿(Vari-Good)변액저축보험B2101(적립형),사망보험금이 기납입보험료보다 적을 경우 기납입 보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액(유니버셜)저축보험 상품,미래에셋생명 변액저축보험(무)2108 장기집중형,이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액(유니버셜)저축보험 상품,미래에셋생명 변액저축보험(무)2108 장기집중형,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액(유니버셜)저축보험 상품,미래에셋생명 변액저축보험(무)2108 장기집중형,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액(유니버셜)저축보험 상품,미래에셋생명 변액저축보험(무)2108 장기집중형,이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액(유니버셜)저축보험 상품,미래에셋생명 변액저축보험(무)2108 장기집중형,사망보험금이 기납입보험료보다 적을 경우 기납입 보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액(유니버셜)저축보험 상품,미래에샛생명 변액저축보험(무)2108 기본형,이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액(유니버셜)저축보험 상품,미래에샛생명 변액저축보험(무)2108 기본형,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액(유니버셜)저축보험 상품,미래에샛생명 변액저축보험(무)2108 기본형,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액(유니버셜)저축보험 상품,미래에샛생명 변액저축보험(무)2108 기본형,이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액(유니버셜)저축보험 상품,미래에샛생명 변액저축보험(무)2108 기본형,사망보험금이 기납입보험료보다 적을 경우 기납입 보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
금리연동형저축보험 상품,무배당 ABL인터넷보너스주는저축보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리연동형저축보험 상품,무배당 ABL인터넷보너스주는저축보험,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리연동형저축보험 상품,무배당 ABL인터넷보너스주는저축보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리연동형저축보험 상품,무배당 ABL인터넷보너스주는저축보험,이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
금리연동형저축보험 상품,무배당 ABL인터넷보너스주는저축보험,이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
금리연동형저축보험 상품,(무)1년부터e저축보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리연동형저축보험 상품,(무)1년부터e저축보험,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리연동형저축보험 상품,(무)1년부터e저축보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리연동형저축보험 상품,(무)1년부터e저축보험,이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
금리연동형저축보험 상품,(무)1년부터e저축보험,이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
금리연동형저축보험 상품,(무)수호천사온라인더좋은저축보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리연동형저축보험 상품,(무)수호천사온라인더좋은저축보험,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리연동형저축보험 상품,(무)수호천사온라인더좋은저축보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리연동형저축보험 상품,(무)수호천사온라인더좋은저축보험,이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
금리연동형저축보험 상품,(무)수호천사온라인더좋은저축보험,이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
금리연동형저축보험 상품,무배당 보너스주는저축보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리연동형저축보험 상품,무배당 보너스주는저축보험,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리연동형저축보험 상품,무배당 보너스주는저축보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리연동형저축보험 상품,무배당 보너스주는저축보험,이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
금리연동형저축보험 상품,무배당 보너스주는저축보험,이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
금리연동형저축보험 상품,무배당 보너스주는e저축보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리연동형저축보험 상품,무배당 보너스주는e저축보험,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리연동형저축보험 상품,무배당 보너스주는e저축보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리연동형저축보험 상품,무배당 보너스주는e저축보험,이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
금리연동형저축보험 상품,무배당 보너스주는e저축보험,이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
금리연동형저축보험 상품,"NH부자습관저축보험(Self가입형,무배당)",이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리연동형저축보험 상품,"NH부자습관저축보험(Self가입형,무배당)",이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리연동형저축보험 상품,"NH부자습관저축보험(Self가입형,무배당)",이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리연동형저축보험 상품,"NH부자습관저축보험(Self가입형,무배당)",이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
금리연동형저축보험 상품,"NH부자습관저축보험(Self가입형,무배당)",이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
금리연동형저축보험 상품,한화생명 e재테크 저축보험 무배당,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리연동형저축보험 상품,한화생명 e재테크 저축보험 무배당,이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리연동형저축보험 상품,한화생명 e재테크 저축보험 무배당,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리연동형저축보험 상품,한화생명 e재테크 저축보험 무배당,이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
금리연동형저축보험 상품,한화생명 e재테크 저축보험 무배당,이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
금리연동형저축보험 상품,삼성 인터넷저축보험2.2(무배당),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
금리연동형저축보험 상품,삼성 인터넷저축보험2.2(무배당),이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
금리연동형저축보험 상품,삼성 인터넷저축보험2.2(무배당),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
금리연동형저축보험 상품,삼성 인터넷저축보험2.2(무배당),이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
금리연동형저축보험 상품,삼성 인터넷저축보험2.2(무배당),이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
금리연동형저축보험 상품,무배당 흥국생명 드림저축보험2101(수익형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
